Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25
Título;POTENCIA INSTALADA_01-09-2019_31-08-2021;;;;;;;;;;;;;;;;;;;;;;;
Sistema eléctrico;Nacional;;;;;;;;;;;;;;;;;;;;;;;
Magnitudes;MW;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;
 ;09/2019;10/2019;11/2019;12/2019;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021
Hidráulica;17097,711;17097,711;17097,781;17097,781;17097,781;17097,781;17097,781;17097,781;17097,781;17097,781;17097,781;17098,251;17098,251;17098,251;17098,251;17097,676;17097,676;17093,176;17093,176;17093,176;17093,176;17093,176;17093,176;17093,176
Turbinación bombeo;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4;3331,4
Nuclear;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29;7117,29
Carbón;9683,445;9683,445;9683,445;9683,445;9456,245;9456,245;9456,245;9456,245;9456,245;9456,245;9456,245;8400,475;8400,475;6838,135;6219,075;5733,225;5385,525;4883,715;4883,715;4883,715;4883,715;4883,715;4883,715;4883,715
Fuel + Gas;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95;7,95
Motores diésel;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67;768,67
Turbina de gas;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65;1148,65
Turbina de vapor;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64;482,64
Ciclo combinado;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145;26250,145
Hidroeólica;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32;11,32
Eólica;24421,741;25059,866;25316,701;25682,847;25717,131;25724,961;26097,791;26115,991;26309,446;26437,591;26532,412;26733,317;26923,352;27051,492;27385,187;27494,387;27494,387;27587,637;27615,937;27659,837;27808,037;27926,687;27958,007;27958,007
Solar fotovoltaica;6560,078;7433,752;8596,408;8782,908;8904,622;8946,729;9451,857;9538,377;9753,66;9911,756;10180,543;10215,805;10682,576;11086,562;11370,103;11738,468;11855,816;12160,56;12459,453;12599,169;12871,03;13179,158;13313,675;13313,675
Solar térmica;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013;2304,013
Otras renovables;942,054;992,054;1041,967;1041,967;1091,467;1090,967;1090,967;1090,967;1090,967;1090,967;1090,967;1090,967;1090,967;1090,295;1090,295;1090,295;1090,295;1090,795;1090,795;1090,795;1092,819;1092,819;1090,611;1090,611
Cogeneración;5724,209;5724,209;5718,769;5718,769;5718,769;5718,769;5714,113;5713,165;5713,165;5713,165;5712,175;5712,175;5712,175;5707,512;5707,312;5702,852;5698,826;5698,826;5698,826;5687,721;5687,721;5685,77;5670,83;5670,83
Residuos no renovables;437,751;437,751;437,751;437,751;437,751;437,751;437,751;437,751;437,751;437,751;437,751;437,751;437,751;428,071;428,071;428,071;428,071;440,861;440,861;440,861;440,861;440,861;440,861;440,861
Residuos renovables;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;157,322;170,112;170,112;170,112;170,112;170,112;170,112;170,112
Potencia total;106446,38900000001;108008,18800000002;109472,22200000001;110024,86800000002;110003,16600000003;110052,603;110925,90500000001;111029,67700000001;111438,41500000001;111724,656;112087,27400000002;111268,14100000002;111924,94700000003;110879,71800000001;110877,694;110864,374;110629,996;110547,76;110874,953;111047,464;111469,54900000001;111894,376;112043,06500000002;112043,06500000002
 ;;;;;;;;;;;;;;;;;;;;;;;;
Notas;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;
Fecha exportación;07/09/2021 - 12:24:27;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;
Fuente;www.ree.es;;;;;;;;;;;;;;;;;;;;;;;
